question_id,student_id,solution
19_20-1-1-java,2SBCAEOV,"int lcm(int a, int b) {
    return (a*b)/(gcd(a, b));
}

int gcd(int a, int b) {
    if (a < b) return gcd(b, a);
    int r = a % b;
    if (r == 0) return b;
    else return gcd(r, b);
}"
19_20-1-1-java,4Z32EUQP,"int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}

int gcd(int a, int b) {
    if (a < b) {
        int tmp = a;
        a = b;
        b = tmp;
    }
int r = a % b;
if (r == 0) {
    return b;
    } else {
    return gcd(r, b);
    }
}"
19_20-1-1-java,5D73SALH,"int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}

int gcd(int a, int b){
    if( a < b ){
        int tmp = a;
        a = b;
        b = tmp;
    }
    int r = a % b;
    if(r == 0){
        return b;
    } else {
        return gcd(r, b);
    }
}"
19_20-1-1-java,5QF4JQUT,"int lcm(int a, int b) {
    return ((a * b) / gcd(a, b));
}

int gcd(int a, int b) {
    if (a < b) {
        int tmp = a;
        a = b;
        b = tmp;
    }
    int r = a % b;
    if (r == 0) {
        return b;
    } else {
        return gcd(r, b);
    }
}"
19_20-1-1-java,5XRZQT3Q,"int lcm(int a, int b) {
    return a/gcd(a,b)*b;
}

int gcd(int a, int b) {
    if (a < b) {
        int tmp = a;
        a = b;
        b = tmp;
    }
    int r = a % b;
    
    if (r == 0) {
        return b;
    } else {
        return gcd(r, b);
    }
}"
19_20-1-1-java,6PM43EV6,"int lcm(int a, int b) {
    return (a * b) / gcd(a, b);
}

int gcd(int a, int b){
    if (a < b){
        int temp = a;
        a = b;
        b = temp;
    }
    int r = a % b;
    if (r == 0){
        return b;
    }
    return gcd(b, r);
}"
19_20-1-1-java,6Q23JRTB,"int lcm(int a, int b)
	{
		int mul = a * b;
		if(mul < 0)
		{
			mul *= -1;
		}
		
		return mul / gcd(a, b);
	}
	
	int gcd(int a, int b)
	{
		if(a < b)
		{
			int tmp = a;
			a = b;
			b = tmp;
		}
		
		int r = a % b;
		if(r == 0)
		{
			return b;
		}
		else
		{
			return gcd(r, b);
		}
	}"
19_20-1-1-java,AQTSR2RI,"int gcd(int a, int b)
{
	int tmp;
	//Swap the numbers so a >= b
	if(a < b)
	{
		tmp = a;
		a = b;
		b = tmp;
	}
	//Find the gcd
	while(b != 0)
	{
		tmp = a % b;
		a = b;
		b = tmp;
	}
	return a;
}

int lcm(int a, int b) {
    return (a*b)/gcd(a,b);
}"
19_20-1-1-java,AS724CON,"int lcm(int a, int b)
{
return a*b / gcd(a,b);
}

int gcd(int a, int b) {
if (a < b) {
int tmp = a;
a = b;
b = tmp;
}
int r = a % b;
if (r == 0) {
return b;
} else {
return gcd(r, b);
}
}"
19_20-1-1-java,BBGDLL6M,"int lcm(int a, int b) {
    int a1=a;
    int b1=b;
    int r=1;
    while(r > 0){
        if(a < b){
        int tmp = a;
        a = b;
        b = tmp;
    }
        r = a % b;
        if(r != 0){
        a = b;
        b = r;
        }
    }
    int x=a1*b1/b;
    return x;
}"
